rank,owner_address,owner_type,ownership_sources,non_custodial_direct_cpal,non_custodial_direct_cpal_raw,attributed_backstop_cpal_equivalent,attributed_backstop_cpal_equivalent_raw,unattributed_backstop_custody_cpal,unattributed_backstop_custody_cpal_raw,flattened_total_cpal,flattened_total_cpal_raw,share_of_total_supply_percent_12dp,backstop_pool_count,backstop_pool_names,backstop_pool_addresses
204,GDVXSVJ6O45JEWVSTPL5H3BSCLZSF6Z72NFMXHYFKWA2C7IELXFQKMYN,account,backstop_attributed,0.0000000,0,408.8677800,4088677800,0.0000000,0,408.8677800,4088677800,0.002798535560,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
205,GA4LVBBHFJ2KYR56LDIGTGI3KGFUSM5CJ266RAPOMSOGAVIVYHOFQF5B,account,backstop_attributed,0.0000000,0,407.9613385,4079613385,0.0000000,0,407.9613385,4079613385,0.002792331333,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
206,GAB7QWJFSZD32G3MTWEJC7MHLRYHVRDQAKRWAAPKZI7NJTZCW2NVNHA6,account,backstop_attributed,0.0000000,0,402.9388155,4029388155,0.0000000,0,402.9388155,4029388155,0.002757954182,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
207,GAN2FWNA2YUMUFLWBF3QKV34UZ4MK7VQ5NE2LNRUBQ3D3NNMYBP6ZIXR,account,backstop_attributed,0.0000000,0,402.7325514,4027325514,0.0000000,0,402.7325514,4027325514,0.002756542387,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
208,GDMOYTT33DVR5W43DSHAFMKE2A57K75JRDZZKXTWUODQYRXIOMVUGPDK,account,backstop_attributed,0.0000000,0,400.2018564,4002018564,0.0000000,0,400.2018564,4002018564,0.002739220798,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
209,GDQVYP5XGSF7F7YSGFGBACGT4EEDN4TXOMYNQISS4GT66X3PJGJOW53Z,account,backstop_attributed,0.0000000,0,384.1548101,3841548101,0.0000000,0,384.1548101,3841548101,0.002629385218,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
210,GABR5FJYD4AITJWFV2YOTEQKJPKSGMC37ESKRU6FEGNNRYV6YAPXZPWK,account,backstop_attributed,0.0000000,0,381.1209106,3811209106,0.0000000,0,381.1209106,3811209106,0.002608619395,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
211,GAD7ZGQ5FT7MWLEJHGKQ36HDQMRHCFJIBA5ICWYT2ERW2TCWG2MIZUUD,account,backstop_attributed,0.0000000,0,375.1095778,3751095778,0.0000000,0,375.1095778,3751095778,0.002567474239,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
212,GAU3MOAHNR3B26X535SHXPYU7575BWCDVUGIOX5VAMTT664HZ3JK4IVZ,account,backstop_attributed,0.0000000,0,364.2691724,3642691724,0.0000000,0,364.2691724,3642691724,0.002493276023,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
213,GCRCLPLZCYPQHOKRQOOMZV3JMO75WG2IU4P3W46N6OXAGOUYJH7B2SDL,account,backstop_attributed,0.0000000,0,349.6584511,3496584511,0.0000000,0,349.6584511,3496584511,0.002393271510,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
214,GDX3PXYEDCG6BI3FUYUQAKUJ2W5QHS2FYN2CSOUMPWS4JTGFVUB7SSXU,account,backstop_attributed,0.0000000,0,346.1227427,3461227427,0.0000000,0,346.1227427,3461227427,0.002369071008,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
