rank,owner_address,owner_type,ownership_sources,non_custodial_direct_cpal,non_custodial_direct_cpal_raw,attributed_backstop_cpal_equivalent,attributed_backstop_cpal_equivalent_raw,unattributed_backstop_custody_cpal,unattributed_backstop_custody_cpal_raw,flattened_total_cpal,flattened_total_cpal_raw,share_of_total_supply_percent_12dp,backstop_pool_count,backstop_pool_names,backstop_pool_addresses
157,GCDNQRAMHQF3PFM6YFKCFNDKSQH7RUVH43ENC2S4P6FSFY7KB5VQJURF,account,backstop_attributed,0.0000000,0,1503.3638337,15033638337,0.0000000,0,1503.3638337,15033638337,0.010289920984,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
158,GBM5OQN7TITF7PIZEPE7M7IHMX5YIHIRBH4M4MNLBY7CAROH2RTR233A,account,backstop_attributed,0.0000000,0,1497.4922519,14974922519,0.0000000,0,1497.4922519,14974922519,0.010249732368,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
159,GDWERO74NNU4DMLRK4R7DNLGC54QZZW5XYAU3ID44OORT6DYGRXQJCYO,account,backstop_attributed,0.0000000,0,1438.8959495,14388959495,0.0000000,0,1438.8959495,14388959495,0.009848664237,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
160,GDLY224BPMQKXD37H2UE4ODCYVLNA7T5SJAPRFRHHMYDY6RAGYGKW3HF,account,backstop_attributed,0.0000000,0,1392.3355730,13923355730,0.0000000,0,1392.3355730,13923355730,0.009529977181,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
161,GCFUKAAGICVWV4ZHFSJEC5OYVBUJSAJCTLZF7MO3HKCB3GTTWW57IGOY,account,backstop_attributed,0.0000000,0,1328.8457137,13288457137,0.0000000,0,1328.8457137,13288457137,0.009095414621,1,YieldBlox,CCCCIQSDILITHMM7PBSLVDT5MISSY7R26MNZXCX4H7J5JQ5FPIYOGYFS
162,GA7UMBA276ZRNYY6GAII4NVBI7Y6ZPGUL4JGDBH7BAEULUO7OAL7SQEY,account,backstop_attributed,0.0000000,0,1295.9994793,12959994793,0.0000000,0,1295.9994793,12959994793,0.008870595353,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
163,GC626ZRISBXL2GFD3QGLNHWCK7TTY2ZNBYSDEEUKGGZUQLSXGVLFIIKH,account,backstop_attributed,0.0000000,0,1223.9248279,12239248279,0.0000000,0,1223.9248279,12239248279,0.008377273343,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
164,GA7GJDTBJ7Y6TC6T22UUXFCPHQUMGP57YQ5X3NDKWEPUFBKQGPGGTVOF,account,direct+backstop_attributed,338.1050421,3381050421,872.0343303,8720343303,0.0000000,0,1210.1393724,12101393724,0.008282917443,2,Fixed|YieldBlox,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD|CCCCIQSDILITHMM7PBSLVDT5MISSY7R26MNZXCX4H7J5JQ5FPIYOGYFS
165,GAD2NZH7LOFMGEMXAMZBHKNQNJRMGUMZPA27HNETT66KVS7DZMH2C4PW,account,backstop_attributed,0.0000000,0,1199.3161192,11993161192,0.0000000,0,1199.3161192,11993161192,0.008208836627,3,Etherfuse|Fixed|YieldBlox,CDMAVJPFXPADND3YRL4BSM3AKZWCTFMX27GLLXCML3PD62HEQS5FPVAI|CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD|CCCCIQSDILITHMM7PBSLVDT5MISSY7R26MNZXCX4H7J5JQ5FPIYOGYFS
166,GCXJPN7OAV53YWVOB7K57FB7VDRCJR4ZZWPAM4KNVDXTWXVTSHF7UK2C,account,backstop_attributed,0.0000000,0,1157.9306025,11579306025,0.0000000,0,1157.9306025,11579306025,0.007925569405,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
